ID,company_name,city,state,size,website,industry,revenue,founded,company_type,logo_url
3325,LendingClub,San Francisco,CA,"1,001-5,000 employees",http://www.lendingclub.com/,Financial Services,Unknown,2006,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQHGYG-eeMRdrw/company-logo_200_200/0/1656699133654?e=1677715200&v=beta&t=nUfaTNpiKM3VDaLJxNX6RA0WDt-rcLzamllhKlq62NI
3326,LensCrafters,Cincinnati,OH,"10,001+ employees",https://www.lenscrafters.com/,Retail Apparel and Fashion,Unknown,1983,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQFciFBpz30vNg/company-logo_200_200/0/1561407971608?e=1677715200&v=beta&t=JKoKn9u2Od87VjW4CZIk4rTObHeQRRw92hVDSWbD6js
3327,Leprino Foods,Denver,CO,"1,001-5,000 employees",http://www.leprinofoods.com/,Food and Beverage Manufacturing,Unknown,1950,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQEeROXN3K0eJQ/company-logo_200_200/0/1657042014732?e=1677715200&v=beta&t=2TUtNrd_GWl95TN4FpPSapsQDkFeYEWGCd_c71O5xEk
3328,Lifespan,Providence,RI,"10,001+ employees",http://www.lifespan.org/,Hospitals and Health Care,Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/D4E0BAQHIdhARwSn3kA/company-logo_200_200/0/1667308180983?e=1677715200&v=beta&t=p9K5DJyJzhOzdmPLUVvC6bmfcrmp74ywIvWD1vUHIzM
3329,Lockheed Martin,Bethesda,MD,"10,001+ employees",https://www.lockheedmartin.com/,Defense and Space Manufacturing,Unknown,1995,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQHF1YKEZdN4LA/company-logo_200_200/0/1668532984993?e=1677715200&v=beta&t=BxhLdpnwQ5DOdCPpZmzhB-l-_29PiPV3-wjQKAm2W7k
3330,Los Angeles Times,El Segundo,CA,"1,001-5,000 employees",http://www.latimes.com/,Newspaper Publishing,Unknown,1947,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQEt4TTp_FK3ug/company-logo_200_200/0/1550106625181?e=1677715200&v=beta&t=el-gmEzGUWbMFUzb5h1ysfiq-NFQuqGnuyW8D54t4Jk
3331,Lumen Technologies,Monroe,LA,"10,001+ employees",http://www.lumen.com/,IT Services and IT Consulting,Unknown,1968,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQGq98Vjh8FjUw/company-logo_200_200/0/1656688064033?e=1677715200&v=beta&t=O9Z1JUbbH5s015HnLqlqZumrOpfDI3zmlX3Ji2Vq8m4
3332,M&T Bank,Buffalo,NY,"10,001+ employees",http://www.mtb.com/,Financial Services,Unknown,1856,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQFdBokFRoHX4g/company-logo_200_200/0/1519893420524?e=1677715200&v=beta&t=ucxh6RJj49Zah4EZkGaEnBP2Z3Sv438qjZSiN7DYTrk
3333,Marriott International,Bethesda,MD,"10,001+ employees",http://www.marriott.com/,Hospitality,Unknown,1993,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQGY9JOK2_SC_w/company-logo_200_200/0/1519856409539?e=1677715200&v=beta&t=y9LOauMkyVLjcc0OBnjoymq41BDDdFdSr0530E9qFqk
3334,Marathon Petroleum Corporation,Findlay,OH,"10,001+ employees",http://www.marathonpetroleum.com/,Oil and Gas,Unknown,2005,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQHhQfd0gwKVtw/company-logo_200_200/0/1654723970191?e=1677715200&v=beta&t=xsUkSPPytCYT35AxK4wM51QQXjbydHA-S2Ot0U4AUio
3335,Martin Marietta,Raleigh,NC,"5,001-10,000 employees",http://www.martinmarietta.com/,Mining,Unknown,1961,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQEk2GXUaCB8NA/company-logo_200_200/0/1519876978643?e=1677715200&v=beta&t=c0XhhiKCvR64RQ2iBgzmAzYlXwwOgwNRGod3DemxVmk
3336,Mastercard,Purchase,NY,"10,001+ employees",http://www.mastercard.com/,IT Services and IT Consulting,Unknown,1966,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQGOW4NIyYRRqQ/company-logo_200_200/0/1519856263087?e=1677715200&v=beta&t=oOz7CftoV5mkQcn-eoFus28oCRbWTsOVCkrKNOPwSDk
3337,Maxar Technologies,Westminster,CO,"5,001-10,000 employees",http://www.maxar.com/,Defense and Space Manufacturing,Unknown,2017,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQHlq8hG4Z1Qfw/company-logo_200_200/0/1586459327261?e=1677715200&v=beta&t=DaTNIKF2K239t6zkNrcXTA7z6ZzKfCTW6Nk_wUBrWAU
3338,McAfee,San Jose,CA,"5,001-10,000 employees",https://www.mcafee.com/,Computer and Network Security,Unknown,1987,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQFXrf-qiLykqA/company-logo_200_200/0/1657035212567?e=1677715200&v=beta&t=nLIbHsFp590ApEz2b5FUfyRN1gBB7JvWYTqX74Ih-LM
3339,"Medline Industries, LP",Northfield,IL,"10,001+ employees",http://www.medline.com/,Medical Equipment Manufacturing,Unknown,1966,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQFh3V0QBYolZQ/company-logo_200_200/0/1613746708858?e=1677715200&v=beta&t=1Dy2dzL0HGsn66jDnscfO3d72EbOTsmFExUO3eIUTQ8
3340,MetLife,New York,NY,"10,001+ employees",http://www.metlife.com/,Insurance,Unknown,1868,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQGvfZGd31Hw_Q/company-logo_200_200/0/1519855879245?e=1677715200&v=beta&t=Q2XnyKR5tpzAyvm-VLacj4-dC0ZsUzbB_wsFEYAN4MQ
3341,Metrolink,Los Angeles,CA,201-500 employees,http://www.metrolinktrains.com/,Rail Transportation,Unknown,1987,Unknown,https://media-exp1.licdn.com/dms/image/D560BAQFJdbnIGd5X9g/company-logo_200_200/0/1666807204239?e=1677715200&v=beta&t=OYjcxcNsCwAMEO6rU8Nu0C8gbL5qBcnBK-TgIJg_eqg
3342,Mandiant (now part of Google Cloud),Reston,VA,"1,001-5,000 employees",https://www.mandiant.com/,Computer and Network Security,Unknown,2004,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQFIKmObWh6-lQ/company-logo_200_200/0/1633357549797?e=1677715200&v=beta&t=MiAslcJFlVrnH2K6EDeetwvbU-JFipAcwK4-WNyKnZk
3343,McGraw Hill,New York,NY,"1,001-5,000 employees",http://www.mheducation.com/,Education Administration Programs,Unknown,1888,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQGY1GVacKER1A/company-logo_200_200/0/1656608249463?e=1677715200&v=beta&t=9LLLhuLWCUyNcMtv6CqSkqAnSpvMRbPT7KpTDFRbJeE
3344,McKinsey & Company,Unknown,Unknown,"10,001+ employees",http://www.mckinsey.com/,Business Consulting and Services,Unknown,1926,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQHP1XsqU9L_XQ/company-logo_200_200/0/1656621713859?e=1677715200&v=beta&t=qBpYZsOn9wbEaErR3ARFIEIvFujCQsgQ7Q3mx8dndWI
