ID,name,url,headquarter,size,founded,company_type,industry,description,revenue,company_url
36,Forest Lawn Memorial-Park Association,"https://www.glassdoor.com/Overview/Working-at-Forest-Lawn-Memorial-Park-Association-EI_IE482403.11,48.htm","Glendale, CA",501 to 1000 Employees,1906,Company - Private,Civic & Social Services,"An architect, a designer, a curator, an engineer? You’d be amazed at how many different kinds of people work at Forest Lawn. With our world-renowned art and architecture, our popular community events, and our reputation as being one of the most beautiful destinations in Southern California, there are all sorts of different people and positions here. But our employees all have some things in common. They’re all intelligent, ambitious, professional, creative – and most of all, caring. If this sounds like you, give us a call and become one of the amazing people at Forest Lawn.",$25 to $100 million (USD),http://www.forestlawn.com/
37,US Motor Works,,,,,,,,,
38,"Hirsch Pipe & Supply Co., Inc.","https://www.glassdoor.com/Overview/Working-at-Hirsch-Pipe-and-Supply-EI_IE28224.11,33.htm","Van Nuys, CA",201 to 500 Employees,1933,Company - Private,Home Furniture & Housewares Stores,"When you join the Hirsch team, you become a part of the Hirsch family. That same value placed on our employees is why we proudly accepted the awards for Best Workplace at the 2017 AD Conference and Best Places to Work 2017 from OCBJ . With more than 20 locations across Southern California, come work for Hirsch Pipe & Supply to service local plumbers with the best there is. Because… Hirsch has it!",$100 to $500 million (USD),http://www.hirsch.com/
39,TrueCare for Pets,"https://www.glassdoor.com/Overview/Working-at-TrueCare-for-Pets-EI_IE4293862.11,28.htm","Studio City, CA",51 to 200 Employees,1980,Company - Private,Health Care Services & Hospitals,,Unknown / Non-Applicable,http://truecareforpets.com/
40,Compass Group TA - Corporate,"https://www.glassdoor.com/Overview/Working-at-University-of-New-Mexico-EI_IE27470.11,35.htm","Albuquerque, NM",10000+ Employees,1889,College / University,Colleges & Universities,"With more than 27,000 students attending its main campus in Albuquerque, The University of New Mexico is most renowned for its schools of medicine, law, and education. Some 7,000 additional students attend one of the school's four branches located around the northern part of the state at Gallup, Los Alamos, Rio Rancho, Taos, and Valencia. Through its schools and colleges, the university offers 90 bachelor's degrees, some 70 master's degrees, 38 doctorate degrees, as well as professional practice programs in law, medicine, and pharmacy. UNM was founded in 1889. Its annual budget tops $2 billion.",$1 to $5 billion (USD),http://www.unm.edu/
41,Falcon Towing,"https://www.glassdoor.com/Overview/Working-at-Falcon-Towing-and-Auto-Repair-EI_IE1151069.11,40.htm","Gardena, CA",Unknown,,Company - Public,Vehicle Repair & Maintenance,,Unknown / Non-Applicable,https://www.falcontowing.com/
42,"D R CONSULTANTS & DESIGNERS, INC.","https://www.glassdoor.com/Overview/Working-at-D-R-Consultants-and-Designers-EI_IE1154732.11,40.htm","Los Angeles, CA",1 to 50 Employees,,Company - Private,,"For three decades, DRC has enjoyed new and repeat business with our local, state and federal clients. DRC maintains multi-year contracts with the City of Los Angeles, Port of Los Angeles, Port of Long Beach, Los Angeles Department of Water and Power, U. S. Army Corps of Engineers, Bureau of Reclamation, the Metropolitan Transportation Authority, Metropolitan Water District and numerous water agencies, special districts and municipal clients. DRC has met or exceeded the requirements for each and every contract. We consistently receive high performance ratings, client commendations, and a high rate of follow-on and repeat business.The firm has won several engineering excellence awards from the American Public Works Association and the Los Angeles Council of Engineers and Scientists.",$5 to $25 million (USD),http://www.drcdinc.com/
43,Jacoby and Meyers,"https://www.glassdoor.com/Overview/Working-at-Law-Offices-of-Jacoby-and-Meyers-EI_IE807997.11,43.htm","Los Angeles, CA",51 to 200 Employees,1972,Company - Private,Legal,"Jacoby and Meyers was founded in 1972 with the intention of making the legal system more accessible to the average person. Now, more than 40 years later, we continue to help people like you get the justice and compensation they deserve. If you were the victim of an auto accident, personal injury, defective product, or other accident, let our experienced personal injury accident lawyers handle your case, so you can focus on recovery. You don’t have to take on the legal system alone. Contact us today and put our experience, resources, and diligence on your side.",$25 to $100 million (USD),http://www.jacobyandmeyers.com/
44,Lashon Academy,"https://www.glassdoor.com/Overview/Working-at-Lashon-Academy-EI_IE1865135.11,25.htm","Los Angeles, CA",1 to 50 Employees,,School / School District,Primary & Secondary Schools,,Less than $1 million (USD),http://www.lashonacademy.org/
45,"The Riviera Golf & Tennis, Inc","https://www.glassdoor.com/Overview/Working-at-The-Riviera-Country-Club-CA-EI_IE2602961.11,38.htm","Pacific Palisades, CA",51 to 200 Employees,,Company - Private,Sports & Recreation,,Unknown / Non-Applicable,http://www.therivieracountryclub.com/
